Kingdom,Phylum,Class,Order,Family,Genus,Species,Infrarank,Subpopulation,Taxon ID,Friendly Name,Taxonomic Authority 
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,DIPODIDAE,Euchoreutes,naso,N/A,N/A,8162,"Euchoreutes naso","Sclater, 1891"
ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,SORICIDAE,Cryptotis,venezuelensis,N/A,N/A,48267978,"Cryptotis venezuelensis","Quiroga-Carmona, 2013"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Taeromys,dominator,N/A,N/A,16375,"Taeromys dominator","(O. Thomas, 1921)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Paruromys,ursinus,N/A,N/A,16376,"Paruromys ursinus","(Sody, 1941)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,DASYPROCTIDAE,Dasyprocta,iacki,N/A,N/A,89531729,"Dasyprocta iacki","Feijó and Langguth, 2013"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Abrawayaomys,ruschii,N/A,N/A,16,"Abrawayaomys ruschii","Cunha &amp; Cruz, 1979"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,boliviensis,N/A,N/A,18,"Abrocoma boliviensis","Glanz &amp; Anderson, 1990"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Paulamys,naso,N/A,N/A,16426,"Paulamys naso","(Musser, 1981)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Lophuromys,makundii,N/A,N/A,47997538,"Lophuromys makundii"," W. Verheyen, Hulsemans, Dierckx, Mulungu, Leirs, Corti &amp; E. Verheyen, 2007"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Euneomys,chinchilloides,N/A,N/A,8256,"Euneomys chinchilloides","(Waterhouse, 1839)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Euneomys,mordax,N/A,N/A,8257,"Euneomys mordax","Thomas, 1912"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Euneomys,petersoni,N/A,N/A,8258,"Euneomys petersoni","J.A. Allen, 1903"
ANIMALIA,CHORDATA,MAMMALIA,SCANDENTIA,TUPAIIDAE,Tupaia,salatana,N/A,N/A,111871663,"Tupaia salatana","Lyon, 1913"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CTENODACTYLIDAE,Pectinator,spekei,N/A,N/A,16458,"Pectinator spekei","Blyth, 1856"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Eupetaurus,cinereus,N/A,N/A,8269,"Eupetaurus cinereus","Thomas, 1888"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,PEDETIDAE,Pedetes,capensis,N/A,N/A,16467,"Pedetes capensis","(Forster, 1778)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Pelomys,hopkinsi,N/A,N/A,16506,"Pelomys hopkinsi","Hayman, 1955"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Pelomys,isseli,N/A,N/A,16507,"Pelomys isseli","(de Beaux, 1924)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Pelomys,campanae,N/A,N/A,16508,"Pelomys campanae","(Huet, 1888)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Pelomys,fallax,N/A,N/A,16509,"Pelomys fallax","(Peters, 1852)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Pelomys,minor,N/A,N/A,16510,"Pelomys minor","Cabrera &amp; Ruxton, 1926"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HETEROMYIDAE,Dipodomys,ornatus,N/A,N/A,92464382,"Dipodomys ornatus","Merriam, 1894"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Phyllomys,sulinus,N/A,N/A,47792718,"Phyllomys sulinus","Leite, Christoff &amp; Fagundes, 2008"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Thomasomys,pyrrhonotus,N/A,N/A,96789732,"Thomasomys pyrrhonotus","Thomas, 1886"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Leptomys,paulus,N/A,N/A,47989221,"Leptomys paulus","Musser, Helgen &amp; Lunde, 2008"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Lophuromys,sabunii,N/A,N/A,47997414,"Lophuromys sabunii"," W. Verheyen, Hulsemans, Dierckx, Mulungu, Leirs, Corti &amp; E. Verheyen, 2007"
ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,TALPIDAE,Euroscaptor,mizura,N/A,N/A,8385,"Euroscaptor mizura","(Günther, 1880)"
ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,TALPIDAE,Euroscaptor,parvidens,N/A,N/A,8386,"Euroscaptor parvidens","Miller, 1940"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,NESOMYIDAE,Cricetomys,ansorgei,N/A,N/A,112256552,"Cricetomys ansorgei","Thomas, 1904"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Euryzygomatomys,spinosus,N/A,N/A,8418,"Euryzygomatomys spinosus","(G. Fischer, 1814)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Exilisciurus,concinnus,N/A,N/A,8436,"Exilisciurus concinnus","(Thomas, 1888)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Exilisciurus,exilis,N/A,N/A,8437,"Exilisciurus exilis","(Müller, 1838)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Exilisciurus,whiteheadi,N/A,N/A,8438,"Exilisciurus whiteheadi","(Thomas, 1887)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HETEROMYIDAE,Perognathus,longimembris,brevinasus,16630,"Perognathus longimembris ssp. brevinasus","Osgood, 1900"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HETEROMYIDAE,Perognathus,alticola,N/A,N/A,16631,"Perognathus alticola","Rhoads, 1894"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HETEROMYIDAE,Perognathus,inornatus,psammophilus,16632,"Perognathus inornatus ssp. psammophilus","von Bloeker, 1937"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HETEROMYIDAE,Perognathus,amplus,N/A,N/A,16633,"Perognathus amplus","Osgood, 1900"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Praomys,degraaffi,N/A,N/A,41210,"Praomys degraaffi","Van der Straeten &amp; Kerbis Peterhans, 1999"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HETEROMYIDAE,Perognathus,flavescens,N/A,N/A,16634,"Perognathus flavescens","Merriam, 1889"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HETEROMYIDAE,Perognathus,flavus,N/A,N/A,16635,"Perognathus flavus","Baird, 1855"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Praomys,obscurus,N/A,N/A,41211,"Praomys obscurus","Hutterer &amp; Dieterlen, 1992"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HETEROMYIDAE,Perognathus,longimembris,N/A,N/A,16636,"Perognathus longimembris","(Coues, 1875)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Lemniscomys,zebra,N/A,N/A,41212,"Lemniscomys zebra","(Heuglin, 1864)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HETEROMYIDAE,Perognathus,merriami,N/A,N/A,16637,"Perognathus merriami","J.A. Allen, 1892"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HETEROMYIDAE,Perognathus,alticola,alticola,16638,"Perognathus alticola ssp. alticola","Rhoads, 1894"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HETEROMYIDAE,Perognathus,longimembris,bangsi,16639,"Perognathus longimembris ssp. bangsi","Mearns, 1898"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HETEROMYIDAE,Perognathus,longimembris,internationalis,16640,"Perognathus longimembris ssp. internationalis","Huey, 1939"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HETEROMYIDAE,Perognathus,longimembris,pacificus,16641,"Perognathus longimembris ssp. pacificus","Mearns, 1898"
